,user,team,timestamp,likes,replies,retweets,text,polarity,positive,negative
0,SimonStillSays,@TBLightning,2018-04-24 23:57:33,1,0,0,My lights for my car came today. #GoBolts @TBLightning pic.twitter.com/Yp380rrL8L,0.0,0,0
1,Saintsaitional1,@TBLightning,2018-04-24 23:51:11,0,1,0,Try to contain your hard on,-0.2916666666666667,0,1
2,amy_hollyfield,@TBLightning,2018-04-24 23:50:10,0,0,0,Saturday night’s all right for @TBLightning to open the next round! Afternoon even better https://shar.es/1LPLI0  @RogerMooney50 @TB_Times,0.10714285714285714,1,0
3,Sharky_Feist,@TBLightning,2018-04-24 23:31:40,0,0,0,@PapaJohns can u change ur promo code 4 @RaysBaseball 2 half off online orders the day after every win? If anything change the promo code w/ the @TBLightning to 1/2 off after 6+ goals. Lightning have a better chance at scoring 6+ goals than a Rays win.,0.48333333333333334,1,0
4,BUCNSPORTS,@TBLightning,2018-04-24 23:17:34,0,0,0,Who can beat the @TBLightning?  Let us know!,0.0,0,0
5,vakellym,@TBLightning,2018-04-24 23:12:10,0,0,0,Can’t WAIT to rep the @TBLightning gear in Beantown this weekend! #LetsGoBolts,0.0,0,0
6,Pond_Sweaters,@TBLightning,2018-04-24 23:09:06,0,0,0,Gear up for the playoffs with this 2017 Dominik Masin Calder Cup Finals game worn jersey at http://IceJerseyKing.webstore.com  #Authentic #gogetit #GoBolts #CalderCup @TBLightning pic.twitter.com/1dI6ocglvE,0.04999999999999999,1,0
7,JxNxTHxNL,@TBLightning,2018-04-24 23:05:52,2,0,0,nah looks like you already made plans fam,0.0,0,0
8,DrewOnTheRadio,@TBLightning,2018-04-24 22:58:52,1,0,0,I would say it has to do with the particular TV networks and their availability,0.16666666666666666,1,0
9,queenkitty33,@TBLightning,2018-04-24 22:58:08,0,1,0,I'm sorry.  I guess I was hoping someone my see my question and have a guess.,-0.5,0,1
10,BoltsFamily20,@TBLightning,2018-04-24 22:56:57,1,0,0,I'll be there for Game 2 whenever that may be! #GoBolts,-0.5,0,1
11,unpassende,@TBLightning,2018-04-24 22:52:58,8,1,0,"Was a, uh... a rough series. Happier times now, no @TBLightning? pic.twitter.com/t15YGzii0w",-0.1,0,1
12,DrewOnTheRadio,@TBLightning,2018-04-24 22:51:00,0,2,0,Why are you asking me? Just curious.,-0.1,0,1
13,queenkitty33,@TBLightning,2018-04-24 22:49:55,0,1,0,Why is it 3pm for Boston but 8pm for Toronto?  Just curious.,-0.1,0,1
